"id","title","link","pubDate","desc"
"HIN18","shankar pratishtan awards scholarships announced","http://www.thehindu.com/news/national/karnataka/Shankar-Pratishtan-awardsscholarships-announced/article16960472.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 23:51:34 +0530","dr p s shankar pratishtan kalaburagi a charitable trust working in the field of health and medical education has announced two awards for medical professionals and scholarships for five medical"
"HIN19","revised sarojini mahishi panelrecommendationsin a fortnight","http://www.thehindu.com/news/national/karnataka/%E2%80%98Revised-Sarojini-Mahishi-panelrecommendationsin-a-fortnight%E2%80%99/article16960467.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 23:50:42 +0530","chief minister had constituted 21 member committee headed by kda chairman"
"HIN20","lets rewind","http://www.thehindu.com/entertainment/movies/Let%E2%80%99s-rewind/article16960462.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 23:47:34 +0530","if you are seeking to welcome the new year from the warmth of quilt with a mug of coffee we have brewed an eclectic mix of films from the 70s that have been picked from the ones featured in the colum"
"HIN21","the wizard of strings","http://www.thehindu.com/entertainment/music/The-wizard-of-strings/article16960435.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 23:33:11 +0530","remembering ustad hafiz ali khan the sarod legend whose thirst for purity in music transported the audience to a spiritual experience"
"HIN22","the legend lives on","http://www.thehindu.com/entertainment/theatre/The-legend-lives-on/article16960427.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 23:29:43 +0530","subtle lighting and powerful performances made keerti kirpal interpretation of pooran enjoyable"
"HIN23","collector flags off 2k run","http://www.thehindu.com/news/national/andhra-pradesh/Collector-flags-off-2k-run/article16960420.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 23:29:05 +0530","kurnool district collector ch vijayamohan flagged off a 2k run by girl students from the birla gate to the kurnool collectorate on women safety and security as a prelude to the jayanthi of the co"
"HIN24","triple talaq over phone is valid says deoband fatwa","http://www.thehindu.com/news/national/Triple-talaq-over-phone-is-valid-says-Deoband-fatwa/article16960413.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 23:27:36 +0530","amid an ongoing debate islamic seminaries in deoband have issued a fatwa endorsing triple talaq divorce by uttering the word talaq thrice in quick succession over the phone responding to a ques"
"HIN25","two soldiers injured in militant firing in kashmir","http://www.thehindu.com/news/national/Two-soldiers-injured-in-militant-firing-in-Kashmir/article16960412.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 23:27:01 +0530","two soldiers were injured in firing by militants in kashmir on thursday a team of the army and the police came under heavy fire from militants in shahgund hajin bandipora on thursday morning a pol"
"HIN26","hope becomes the biggest casualty in restive jammu and kashmir","http://www.thehindu.com/news/national/Hope-becomes-the-biggest-casualty-in-restive-Jammu-and-Kashmir/article16960407.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 23:26:18 +0530","hope became the biggest casualty in jammu and kashmir in 2016 as the ruling alliance of the peoples democratic party pdp and the bharatiya janata party bjp struggled to give one reason to smile"
"HIN27","manmohan singh to release congress poll manifesto for punjab","http://www.thehindu.com/news/national/Manmohan-Singh-to-release-Congress-poll-manifesto-for-Punjab/article16960404.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 23:25:34 +0530","former prime minister manmohan singh will soon release the congresss election manifesto for the punjab assembly elections the date is yet to be finalised dr singh congress in charge of punjab aff"
"HIN28","pakistan ready for resumption of talks","http://www.thehindu.com/news/national/Pakistan-ready-for-resumption-of-talks/article16960402.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 23:24:57 +0530","we remain committed to amicably resolving the kashmir dispute and all outstanding issues with india says official"
"HIN29","ntr kala parishad floats kala nidhi","http://www.thehindu.com/news/national/andhra-pradesh/NTR-Kala-Parishad-floats-%E2%80%98Kala-Nidhi%E2%80%99/article16960398.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 23:24:24 +0530","aim is to resurrect dying indigenous art forms says parishad founder"
"HIN30","modi may address nation on new years eve","http://www.thehindu.com/news/national/Modi-may-address-nation-on-New-Year%E2%80%99s-Eve/article16960395.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 23:24:18 +0530","prime minister narendra modi is likely to address the nation on saturday evening before the dawn of the new year a day after the 50 day deadline set by the government for people to deposit scrapped"
"HIN31","chief of the naval staff admiral sunil lanba to chair committee of chiefs","http://www.thehindu.com/news/national/Chief-of-the-Naval-Staff-Admiral-Sunil-Lanba-to-chair-committee-of-Chiefs/article16960390.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 23:23:19 +0530","presently the post is held on rotation basis by the seniormost of the three service chiefs"
"HIN32","an ode to cityscapes","http://www.thehindu.com/entertainment/art/An-ode-to-cityscapes/article16960369.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 23:10:26 +0530","the ongoing exhibition of ram kumars works is a paean to the consonance of line where the thread between memory and image gets blurred writes uma nair"
"HIN33","custodial torture police panel chief slams delinquent officers","http://www.thehindu.com/news/cities/Kochi/Custodial-torture-police-panel-chief-slams-delinquent-officers/article16960358.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 23:08:30 +0530","transferring officers is no deterrent says narayana kurup"
"HIN34","cavemen may have used toothpicks even before making meals with fire","http://www.thehindu.com/sci-tech/science/Cavemen-may-have-used-toothpicks-even-before-making-meals-with-fire/article16960354.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 23:07:17 +0530","researchers found wood fibres in a 1 2 million year old tooth found in europe"
"HIN35","is military leader killed in syria air strike pentagon","http://www.thehindu.com/news/international/IS-military-leader-killed-in-Syria-air-strike-Pentagon/article16960351.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 23:03:41 +0530","a key military commander for the islamic state group in syria has been killed in an air strike carried out by the us led coalition the pentagon said thursday abu jandal al kuwaiti died monday near t"
